Client,Products,Target
Sophy   ,Vine Vodka Cheese,positive
Ann     ,Bread Cheese Salo,positive
Dorophy ,Cheese Water Abritos,positive
Dorophy ,Salo Cigar Sweet,negative
Sophy   ,Salt Cheese Fries,positive
Alla    ,Salt Sweet Pepper,negative
Filona  ,Kefir Salt Cigar,positive
Hilary  ,Beer Cheese Water,positive
Ann     ,Beer Cream Sugar,positive
Alla    ,Vodka Bananas Cream,positive
Ira     ,Cigar Salt Sweet,negative
Chloe   ,Abritos Eris Vine,negative
Gina    ,Salo Bananas Sugar,negative
Sophy   ,Abritos Cream Vodka,positive
Alla    ,Onion Sugar Eris,negative
Ira     ,Milk Bread Vine,positive
Sophy   ,Bread Bananas Sweet,negative
Emma    ,Abritos Cream Milk,positive
Ira     ,Milk Eris Iogurt,positive
Emma    ,Sweet Pepper Kefir,positive
Ann     ,Pepper Vine Iogurt,positive
Gina    ,Sugar Vine Onion,negative
Gina    ,Fries Cream Pepper,positive
Hilary  ,Fries Iogurt Cream,positive
Filona  ,Bananas Fries Abritos,negative
Dorophy ,Salo Vine Iogurt,positive
Sophy   ,Beer Vine Bread,negative
Alla    ,Vine Kefir Pepper,positive
Chloe   ,Fries Eris Cigar,negative
Filona  ,Iogurt Pepper Abritos,positive
Chloe   ,Pepper Cream Cigar,positive
Chloe   ,Cream Cheese Fries,positive
Dorophy ,Salt Sweet Beer,negative
Chloe   ,Fries Cheese Onion,positive
Gina    ,Fries Beer Milk,positive
Gina    ,Sugar Water Onion,negative
Chloe   ,Pepper Salt Milk,positive
Filona  ,Fries Cream Sweet,positive
Emma    ,Kefir Onion Cigar,positive
Alla    ,Salo Water Pepper,negative
Chloe   ,Vine Eris Cheese,positive
Ann     ,Abritos Cream Bananas,positive
Filona  ,Salo Iogurt Cheese,positive
Emma    ,Bread Sugar Salt,negative
Gina    ,Salo Kefir Beer,positive
Sophy   ,Vine Salt Beer,negative
Alla    ,Water Abritos Vine,negative
Filona  ,Eris Iogurt Water,positive
Filona  ,Eris Vodka Fries,negative
Sophy   ,Vine Sweet Abritos,negative
Sophy   ,Sweet Onion Iogurt,positive
Alla    ,Beer Pepper Cream,positive
Gina    ,Pepper Onion Bananas,negative
Emma    ,Pepper Bread Cheese,positive
Gina    ,Pepper Iogurt Salo,positive
Gina    ,Fries Milk Salo,positive
Gina    ,Kefir Vodka Bananas,positive
Filona  ,Milk Bananas Vine,positive
Emma    ,Eris Bread Cream,positive
Gina    ,Pepper Fries Sugar,negative
Filona  ,Fries Sugar Onion,negative
Sophy   ,Beer Bananas Iogurt,positive
Ira     ,Pepper Sugar Vodka,negative
Hilary  ,Milk Vine Salt,positive
Chloe   ,Fries Eris Cream,positive
Ira     ,Bananas Cigar Vodka,negative
Filona  ,Vodka Milk Bananas,positive
Sophy   ,Eris Cheese Sugar,positive
Chloe   ,Onion Water Cream,positive
Hilary  ,Cream Milk Sugar,positive
Hilary  ,Bread Bananas Eris,negative
Emma    ,Iogurt Kefir Cigar,positive
Chloe   ,Sweet Abritos Vine,negative
Sophy   ,Kefir Beer Abritos,positive
Ira     ,Cream Onion Sweet,positive
Ann     ,Vine Cream Bread,positive
Dorophy ,Sugar Bananas Fries,negative
Ann     ,Milk Fries Vodka,positive
Alla    ,Kefir Abritos Sugar,positive
Ann     ,Salo Abritos Milk,positive
Filona  ,Milk Sugar Fries,positive
Ira     ,Fries Sweet Vodka,negative
Ira     ,Pepper Iogurt Cigar,positive
Ira     ,Abritos Iogurt Cheese,positive
Ira     ,Milk Water Pepper,positive
Filona  ,Onion Beer Water,negative
Gina    ,Onion Pepper Kefir,positive
Alla    ,Kefir Iogurt Bananas,positive
Ann     ,Eris Bread Milk,positive
Chloe   ,Sugar Cigar Onion,negative
Hilary  ,Milk Salo Vine,positive
Chloe   ,Beer Eris Milk,positive
Hilary  ,Cheese Vodka Eris,positive
Ira     ,Vine Fries Cream,positive
Alla    ,Vodka Vine Sweet,negative
Ann     ,Vodka Vine Bananas,negative
Chloe   ,Cigar Fries Sweet,negative
Ira     ,Eris Vine Sweet,negative
Emma    ,Kefir Sugar Iogurt,positive
Ann     ,Salo Vodka Cheese,positive
Sophy   ,Vine Kefir Salo,positive
Chloe   ,Sweet Cheese Fries,positive
Dorophy ,Vodka Milk Cheese,positive
Chloe   ,Sugar Milk Water,positive
Dorophy ,Sweet Vine Vodka,negative
Ann     ,Vine Cream Iogurt,positive
Ira     ,Pepper Onion Salt,negative
Gina    ,Cigar Vine Water,negative
Alla    ,Iogurt Abritos Beer,positive
Hilary  ,Onion Pepper Fries,negative
Emma    ,Abritos Milk Kefir,positive
Dorophy ,Abritos Salo Beer,negative
Ira     ,Cream Water Beer,positive
Dorophy ,Fries Abritos Iogurt,positive
Dorophy ,Beer Cream Onion,positive
Ann     ,Iogurt Cheese Vine,positive
Ann     ,Sugar Vodka Bread,negative
Filona  ,Eris Bread Fries,negative
Chloe   ,Abritos Onion Cheese,positive
Filona  ,Pepper Beer Milk,positive
Dorophy ,Eris Onion Salo,negative
Dorophy ,Bananas Cheese Vine,positive
Filona  ,Cheese Salo Kefir,positive
Emma    ,Salt Kefir Milk,positive
Filona  ,Salt Abritos Salo,negative
Ira     ,Sweet Eris Abritos,negative
Ann     ,Bananas Beer Abritos,negative
Ira     ,Vine Salt Eris,negative
Chloe   ,Salt Vodka Bread,negative
Sophy   ,Beer Onion Vodka,negative
Ann     ,Milk Pepper Fries,positive
Ira     ,Cream Water Iogurt,positive
Emma    ,Salt Sugar Cheese,positive
Filona  ,Salo Milk Pepper,positive
Sophy   ,Sweet Kefir Salo,positive
Gina    ,Sugar Water Abritos,negative
Chloe   ,Iogurt Bananas Abritos,positive
Gina    ,Kefir Water Sugar,positive
Hilary  ,Vodka Vine Salo,negative
Alla    ,Vine Beer Salt,negative
Dorophy ,Abritos Water Sugar,negative
Hilary  ,Salt Cream Salo,positive
Chloe   ,Cigar Salo Sugar,negative
Gina    ,Sweet Sugar Milk,positive
Dorophy ,Onion Salo Iogurt,positive
Alla    ,Pepper Cream Salo,positive
Hilary  ,Eris Salo Milk,positive
Chloe   ,Vine Kefir Sugar,positive
Dorophy ,Bananas Fries Eris,negative
Emma    ,Sweet Vodka Eris,negative
Chloe   ,Vodka Pepper Abritos,negative
Sophy   ,Abritos Sugar Iogurt,positive
Dorophy ,Cream Beer Bananas,positive
Ann     ,Milk Beer Eris,positive
Ira     ,Salt Abritos Milk,positive
Gina    ,Beer Cream Bananas,positive
Ann     ,Salo Beer Cream,positive
Filona  ,Fries Pepper Salt,negative
Ira     ,Onion Vine Salo,negative
Chloe   ,Onion Cheese Beer,positive
Chloe   ,Kefir Beer Abritos,positive
Gina    ,Beer Fries Eris,negative
Hilary  ,Cigar Cheese Sugar,positive
Chloe   ,Sweet Pepper Vodka,negative
Sophy   ,Eris Beer Cheese,positive
Filona  ,Vine Water Eris,negative
Ira     ,Sweet Iogurt Cheese,positive
Hilary  ,Cream Milk Water,positive
Ann     ,Bread Milk Sugar,positive
Sophy   ,Cheese Beer Kefir,positive
Gina    ,Cigar Salt Vine,negative
Emma    ,Fries Sweet Milk,positive
Filona  ,Onion Bread Sweet,negative
Hilary  ,Fries Onion Iogurt,positive
Dorophy ,Beer Fries Cream,positive
Emma    ,Sugar Eris Salt,negative
Hilary  ,Salo Vodka Onion,negative
Sophy   ,Pepper Cheese Water,positive
Dorophy ,Sweet Eris Milk,positive
Filona  ,Cream Cheese Abritos,positive
Emma    ,Salt Kefir Bread,positive
Gina    ,Vine Vodka Water,negative
Chloe   ,Salt Eris Bread,negative
Dorophy ,Iogurt Onion Cheese,positive
Filona  ,Bread Sugar Iogurt,positive
Ann     ,Water Eris Fries,negative
Gina    ,Vodka Vine Salt,negative
Gina    ,Kefir Salt Bread,positive
Filona  ,Iogurt Sweet Cigar,positive
Alla    ,Sugar Milk Onion,positive
Dorophy ,Iogurt Kefir Bananas,positive
Emma    ,Onion Salo Fries,negative
Ann     ,Milk Cigar Iogurt,positive
Chloe   ,Salt Iogurt Water,positive
Emma    ,Pepper Water Abritos,negative
Sophy   ,Bananas Cheese Eris,positive
Alla    ,Salo Fries Vine,negative
Dorophy ,Bananas Cheese Cream,positive
Alla    ,Salo Abritos Fries,negative
Gina    ,Beer Kefir Bananas,positive
Emma    ,Bread Salo Beer,negative
Sophy   ,Pepper Milk Onion,positive
Ann     ,Cream Beer Sweet,positive
Gina    ,Milk Eris Salt,positive
Alla    ,Sweet Onion Salt,negative
Dorophy ,Vodka Iogurt Pepper,positive
Hilary  ,Salt Sweet Milk,positive
Ann     ,Salt Vine Eris,negative
Dorophy ,Onion Eris Kefir,positive
Alla    ,Pepper Cheese Eris,positive
Gina    ,Cheese Abritos Sugar,positive
Ann     ,Sweet Beer Kefir,positive
Hilary  ,Bread Vodka Abritos,negative
Hilary  ,Abritos Eris Cigar,negative
Hilary  ,Sugar Bananas Vodka,negative
Gina    ,Pepper Salt Kefir,positive
Gina    ,Sweet Onion Salo,negative
Dorophy ,Water Beer Sugar,negative
Ira     ,Abritos Water Pepper,negative
Chloe   ,Salt Cream Sweet,positive
Alla    ,Cigar Water Milk,positive
Alla    ,Pepper Vodka Bread,negative
Sophy   ,Vodka Pepper Vine,negative
Filona  ,Iogurt Cheese Cigar,positive
Ira     ,Bananas Onion Iogurt,positive
Ira     ,Sweet Iogurt Milk,positive
Ann     ,Vine Kefir Cheese,positive
Ann     ,Kefir Milk Eris,positive
Chloe   ,Beer Iogurt Fries,positive
Sophy   ,Pepper Cream Fries,positive
Hilary  ,Cigar Bananas Pepper,negative
Alla    ,Vine Vodka Kefir,positive
Emma    ,Cheese Water Fries,positive
Dorophy ,Pepper Sugar Iogurt,positive
Ira     ,Pepper Water Vodka,negative
Sophy   ,Onion Water Sweet,negative
Ira     ,Bread Vodka Eris,negative
Chloe   ,Kefir Sugar Pepper,positive
Filona  ,Water Iogurt Pepper,positive
Hilary  ,Bread Cream Salt,positive
Hilary  ,Salt Fries Iogurt,positive
Emma    ,Sugar Iogurt Salt,positive
Ann     ,Salt Onion Vine,negative
Filona  ,Sugar Vine Salt,negative
Alla    ,Beer Sweet Eris,negative
Ira     ,Cigar Kefir Salo,positive
Sophy   ,Abritos Milk Sugar,positive
Ira     ,Bananas Kefir Vodka,positive
Hilary  ,Sugar Pepper Salt,negative
Ann     ,Vine Salt Fries,negative
Filona  ,Cream Vodka Water,positive
Filona  ,Milk Cream Pepper,positive
Gina    ,Onion Fries Pepper,negative
Alla    ,Iogurt Sweet Beer,positive
Dorophy ,Eris Cream Beer,positive
Dorophy ,Cheese Beer Bananas,positive
Dorophy ,Vodka Salo Cream,positive
Sophy   ,Onion Vine Abritos,negative
Chloe   ,Sweet Beer Fries,negative
Alla    ,Abritos Kefir Pepper,positive
Filona  ,Cream Fries Sugar,positive
Filona  ,Bread Cigar Vodka,negative
Ann     ,Pepper Cheese Eris,positive
Filona  ,Cheese Beer Cream,positive
Emma    ,Vine Bread Abritos,negative
Ann     ,Salo Onion Abritos,negative
Filona  ,Abritos Milk Salt,positive
Ira     ,Eris Abritos Pepper,negative
Emma    ,Vodka Water Kefir,positive
Alla    ,Salt Pepper Cream,positive
Dorophy ,Fries Cigar Cream,positive
Gina    ,Beer Salo Cigar,negative
Ann     ,Bread Water Sugar,negative
Ira     ,Eris Bananas Bread,negative
Gina    ,Cream Salo Cheese,positive
Gina    ,Eris Pepper Onion,negative
Alla    ,Sugar Milk Fries,positive
Ira     ,Vodka Cheese Salo,positive
Ann     ,Fries Vine Cheese,positive
Sophy   ,Water Vine Eris,negative
Hilary  ,Milk Abritos Sweet,positive
Alla    ,Cheese Cigar Sugar,positive
Dorophy ,Eris Cigar Cheese,positive
Ira     ,Abritos Kefir Vodka,positive
Hilary  ,Bananas Water Onion,negative
Gina    ,Cigar Fries Iogurt,positive
Hilary  ,Fries Water Iogurt,positive
Gina    ,Sugar Vodka Salo,negative
Gina    ,Iogurt Water Milk,positive
Ann     ,Beer Salt Milk,positive
Emma    ,Bananas Kefir Onion,positive
Chloe   ,Beer Sugar Fries,negative
Ann     ,Cigar Sweet Cheese,positive
Filona  ,Vodka Eris Cream,positive
Gina    ,Milk Fries Sweet,positive
Chloe   ,Pepper Water Eris,negative
Filona  ,Sweet Cheese Cigar,positive
Ann     ,Milk Cream Iogurt,positive
Emma    ,Cheese Salt Water,positive
Hilary  ,Pepper Vodka Milk,positive
Sophy   ,Sugar Water Bananas,negative
Hilary  ,Cream Fries Bread,positive
Ann     ,Cigar Milk Sugar,positive
Gina    ,Sugar Salt Water,negative
Hilary  ,Kefir Sweet Vine,positive
Sophy   ,Beer Milk Water,positive
Ann     ,Sugar Fries Bread,negative
Ann     ,Water Bread Cream,positive
Filona  ,Sweet Bread Sugar,negative
Emma    ,Abritos Cream Beer,positive
Gina    ,Salt Sugar Salo,negative
Gina    ,Salo Bread Sugar,negative
Sophy   ,Cigar Water Beer,negative
Dorophy ,Cream Iogurt Eris,positive
Chloe   ,Bananas Abritos Pepper,negative
Dorophy ,Sweet Eris Water,negative
Sophy   ,Fries Eris Pepper,negative
Emma    ,Salt Eris Iogurt,positive
Ira     ,Vine Onion Beer,negative
Ann     ,Pepper Iogurt Milk,positive
Hilary  ,Vodka Fries Abritos,negative
Chloe   ,Kefir Eris Vodka,positive
Alla    ,Vine Salo Kefir,positive
Ira     ,Vine Sugar Fries,negative
Chloe   ,Vodka Fries Onion,negative
Hilary  ,Cream Onion Pepper,positive
Gina    ,Water Fries Kefir,positive
Gina    ,Eris Sugar Sweet,negative
Ira     ,Kefir Salo Vodka,positive
Emma    ,Kefir Bread Salo,positive
Hilary  ,Kefir Iogurt Cream,positive
Dorophy ,Kefir Beer Bread,positive
Hilary  ,Vine Salt Iogurt,positive
Alla    ,Iogurt Bananas Pepper,positive
Filona  ,Kefir Eris Salt,positive
Hilary  ,Iogurt Beer Cheese,positive
Sophy   ,Beer Bananas Iogurt,positive
Dorophy ,Milk Onion Vine,positive
Ann     ,Vodka Onion Bananas,negative
Chloe   ,Fries Salt Eris,negative
Emma    ,Onion Eris Iogurt,positive
Chloe   ,Water Fries Bananas,negative
Gina    ,Bread Cigar Water,negative
Ann     ,Pepper Kefir Bread,positive
Gina    ,Sugar Eris Beer,negative
Gina    ,Bread Water Vine,negative
Chloe   ,Water Iogurt Cheese,positive
Dorophy ,Vodka Fries Milk,positive
Ann     ,Cigar Beer Water,negative
Emma    ,Salo Bananas Water,negative
Ann     ,Water Salt Onion,negative
Chloe   ,Fries Cigar Cheese,positive
Alla    ,Onion Sweet Salt,negative
Dorophy ,Vodka Pepper Onion,negative
Chloe   ,Sugar Iogurt Fries,positive
Ann     ,Vodka Kefir Iogurt,positive
Dorophy ,Bread Salo Vine,negative
Gina    ,Pepper Bread Cheese,positive
Ann     ,Cigar Kefir Sweet,positive
Ira     ,Iogurt Salo Salt,positive
Dorophy ,Salo Bread Sweet,negative
Alla    ,Water Cheese Iogurt,positive
Gina    ,Vine Milk Salo,positive
Ira     ,Salt Abritos Cigar,negative
Emma    ,Cream Beer Vodka,positive
Chloe   ,Salt Bread Sweet,negative
Hilary  ,Pepper Water Abritos,negative
Chloe   ,Eris Cigar Salo,negative
Alla    ,Cigar Bread Iogurt,positive
Sophy   ,Sweet Water Onion,negative
Hilary  ,Sugar Iogurt Water,positive
Sophy   ,Salo Cream Sweet,positive
Sophy   ,Vine Milk Salt,positive
Alla    ,Fries Sugar Cigar,negative
Gina    ,Cigar Cream Bread,positive
Ann     ,Cream Iogurt Beer,positive
Hilary  ,Pepper Onion Milk,positive
Alla    ,Salo Cigar Beer,negative
Ira     ,Salo Cheese Sugar,positive
Dorophy ,Bananas Milk Water,positive
Hilary  ,Pepper Salo Kefir,positive
Filona  ,Sweet Cigar Cream,positive
Ann     ,Onion Pepper Iogurt,positive
Chloe   ,Vine Vodka Abritos,negative
Emma    ,Sweet Bananas Sugar,negative
Dorophy ,Bread Abritos Salt,negative
Alla    ,Salt Fries Eris,negative
Ann     ,Cheese Sweet Pepper,positive
Alla    ,Cigar Abritos Sugar,negative
Ann     ,Pepper Bananas Salo,negative
Ann     ,Cream Bananas Salt,positive
Gina    ,Eris Onion Water,negative
Ann     ,Cigar Sweet Water,negative
Hilary  ,Fries Vine Eris,negative
Emma    ,Pepper Eris Cream,positive
Emma    ,Water Fries Eris,negative
Emma    ,Bread Milk Water,positive
Ira     ,Cheese Vodka Eris,positive
Ira     ,Milk Salt Eris,positive
Ann     ,Onion Vine Sugar,negative
Filona  ,Sugar Iogurt Cheese,positive
Gina    ,Vodka Milk Sweet,positive
Chloe   ,Vine Iogurt Bananas,positive
Dorophy ,Abritos Cheese Kefir,positive
Sophy   ,Salo Vine Vodka,negative
Dorophy ,Vine Kefir Salt,positive
Sophy   ,Pepper Cheese Vodka,positive
Ira     ,Milk Sugar Salo,positive
Gina    ,Salo Iogurt Abritos,positive
Sophy   ,Kefir Salt Onion,positive
Emma    ,Bread Bananas Sugar,negative
Dorophy ,Salo Vodka Pepper,negative
Alla    ,Sweet Kefir Cheese,positive
Chloe   ,Kefir Salt Iogurt,positive
Gina    ,Water Bananas Milk,positive
Sophy   ,Bananas Cream Bread,positive
Dorophy ,Pepper Sugar Fries,negative
Sophy   ,Sugar Sweet Cheese,positive
Alla    ,Bananas Iogurt Pepper,positive
Sophy   ,Cheese Salo Onion,positive
Chloe   ,Sweet Vine Cream,positive
Emma    ,Cheese Vodka Salo,positive
Emma    ,Beer Milk Cream,positive
Hilary  ,Salo Iogurt Onion,positive
Dorophy ,Abritos Salt Onion,negative
Emma    ,Sweet Pepper Water,negative
Alla    ,Iogurt Bananas Vodka,positive
Emma    ,Salt Kefir Vine,positive
Filona  ,Water Fries Milk,positive
Filona  ,Beer Salt Bananas,negative
Emma    ,Cigar Kefir Water,positive
Alla    ,Eris Abritos Pepper,negative
Gina    ,Cheese Iogurt Milk,positive
Emma    ,Salt Cheese Cream,positive
Ira     ,Bread Kefir Sugar,positive
Emma    ,Fries Bread Eris,negative
Sophy   ,Sugar Salo Vine,negative
Ira     ,Salt Bread Vodka,negative
Ira     ,Onion Beer Bananas,negative
Ira     ,Salt Abritos Cheese,positive
Ann     ,Beer Pepper Eris,negative
Ira     ,Sweet Fries Iogurt,positive
Hilary  ,Kefir Beer Pepper,positive
Gina    ,Bread Salo Abritos,negative
Emma    ,Abritos Milk Sugar,positive
Emma    ,Kefir Sugar Salt,positive
Sophy   ,Vine Cheese Eris,positive
Ira     ,Onion Abritos Eris,negative
Ann     ,Kefir Sugar Water,positive
Dorophy ,Beer Vodka Salo,negative
Emma    ,Cheese Kefir Water,positive
Ira     ,Onion Sweet Bananas,negative
Gina    ,Fries Cigar Bread,negative
Gina    ,Sweet Onion Cream,positive
Emma    ,Eris Cheese Sugar,positive
Gina    ,Cigar Cheese Beer,positive
Filona  ,Cream Cigar Sugar,positive
Hilary  ,Pepper Beer Iogurt,positive
Alla    ,Milk Salo Iogurt,positive
Filona  ,Iogurt Salt Bread,positive
Hilary  ,Kefir Sweet Salt,positive
Gina    ,Sweet Cream Salo,positive
Gina    ,Cheese Onion Beer,positive
Ann     ,Bread Cream Sugar,positive
Alla    ,Onion Fries Cream,positive
Alla    ,Cigar Cheese Bananas,positive
Ann     ,Sugar Milk Sweet,positive
Emma    ,Eris Bread Kefir,positive
Gina    ,Bread Cheese Water,positive
Chloe   ,Sweet Bananas Vine,negative
Filona  ,Eris Iogurt Bananas,positive
Filona  ,Salo Beer Abritos,negative
Filona  ,Sweet Salt Pepper,negative
Dorophy ,Onion Abritos Bananas,negative
Dorophy ,Bananas Kefir Beer,positive
Emma    ,Cream Salo Milk,positive
Hilary  ,Water Kefir Sugar,positive
Ira     ,Bread Iogurt Abritos,positive
Emma    ,Iogurt Fries Milk,positive
Gina    ,Abritos Iogurt Cheese,positive
Alla    ,Milk Beer Fries,positive
Gina    ,Bananas Sweet Cream,positive
Filona  ,Cheese Sugar Abritos,positive
Ira     ,Vine Pepper Sweet,negative
Gina    ,Cream Sweet Abritos,positive
Sophy   ,Bananas Cigar Cheese,positive
Gina    ,Kefir Sweet Sugar,positive
Sophy   ,Kefir Cream Milk,positive
Emma    ,Salt Onion Salo,negative
Gina    ,Bread Pepper Cheese,positive
Sophy   ,Water Onion Sweet,negative
Ann     ,Water Abritos Milk,positive
Ann     ,Fries Water Cheese,positive
Sophy   ,Cheese Iogurt Eris,positive
Emma    ,Abritos Kefir Bread,positive
Alla    ,Cream Onion Cigar,positive
Alla    ,Cream Salt Onion,positive
Emma    ,Bread Salo Beer,negative
Sophy   ,Cheese Iogurt Milk,positive
Emma    ,Cheese Iogurt Vodka,positive
Ira     ,Iogurt Bananas Bread,positive
Filona  ,Eris Pepper Onion,negative
Sophy   ,Fries Vodka Iogurt,positive
Ann     ,Onion Sugar Cigar,negative
Emma    ,Onion Cheese Abritos,positive
Filona  ,Cream Iogurt Cheese,positive
Filona  ,Abritos Pepper Cigar,negative
Filona  ,Fries Vine Water,negative
Gina    ,Sweet Cream Beer,positive
Ann     ,Milk Onion Fries,positive
Filona  ,Fries Salo Iogurt,positive
Ira     ,Iogurt Vodka Fries,positive
Chloe   ,Cigar Vine Onion,negative
Filona  ,Sugar Vodka Fries,negative
Filona  ,Iogurt Onion Sugar,positive
Gina    ,Milk Kefir Abritos,positive
Ira     ,Cream Iogurt Sweet,positive
Alla    ,Vodka Cigar Bread,negative
Dorophy ,Bread Beer Milk,positive
Ann     ,Water Fries Cream,positive
Ann     ,Abritos Eris Vodka,negative
Sophy   ,Abritos Sugar Onion,negative
Alla    ,Beer Vodka Vine,negative
Chloe   ,Kefir Water Sugar,positive
Gina    ,Beer Kefir Bananas,positive
Alla    ,Cheese Kefir Sugar,positive
Filona  ,Cheese Sweet Bread,positive
Chloe   ,Fries Cheese Abritos,positive
Ira     ,Abritos Kefir Beer,positive
Dorophy ,Eris Cream Salt,positive
Ann     ,Kefir Eris Fries,positive
Gina    ,Eris Fries Water,negative
Alla    ,Onion Beer Eris,negative
Hilary  ,Fries Abritos Salt,negative
Filona  ,Vine Cigar Eris,negative
Dorophy ,Iogurt Salo Sugar,positive
Ann     ,Kefir Fries Beer,positive
Emma    ,Bananas Abritos Vine,negative
Filona  ,Salt Beer Vodka,negative
Hilary  ,Salo Iogurt Salt,positive
Hilary  ,Milk Water Vine,positive
Hilary  ,Pepper Salt Onion,negative
Dorophy ,Fries Milk Water,positive
Emma    ,Salo Bananas Milk,positive
Filona  ,Vine Salt Kefir,positive
Sophy   ,Bread Kefir Fries,positive
Emma    ,Onion Vodka Water,negative
Hilary  ,Onion Vodka Eris,negative
Hilary  ,Cigar Beer Kefir,positive
Dorophy ,Vodka Bananas Cigar,negative
Ira     ,Fries Iogurt Eris,positive
Chloe   ,Salo Sweet Pepper,negative
Ann     ,Onion Beer Fries,negative
Dorophy ,Water Abritos Pepper,negative
Ira     ,Eris Milk Cheese,positive
Ira     ,Sugar Onion Pepper,negative
Hilary  ,Eris Sugar Salt,negative
Chloe   ,Beer Onion Cigar,negative
Chloe   ,Vine Cigar Kefir,positive
Ira     ,Salo Onion Bananas,negative
Hilary  ,Beer Bread Abritos,negative
Filona  ,Salo Bread Water,negative
Chloe   ,Cheese Fries Salo,positive
Ira     ,Kefir Pepper Abritos,positive
Gina    ,Iogurt Kefir Sweet,positive
Ira     ,Cigar Iogurt Sweet,positive
Filona  ,Milk Fries Bread,positive
Sophy   ,Vine Onion Abritos,negative
Filona  ,Eris Kefir Beer,positive
Emma    ,Pepper Vine Cheese,positive
Sophy   ,Bananas Salo Sweet,negative
Gina    ,Sugar Vodka Bread,negative
Ira     ,Vine Fries Iogurt,positive
Ira     ,Cheese Bread Beer,positive
Ann     ,Cigar Water Fries,negative
Dorophy ,Onion Milk Vodka,positive
Chloe   ,Vodka Sugar Cigar,negative
Ira     ,Kefir Cigar Cream,positive
Ira     ,Onion Kefir Pepper,positive
Filona  ,Cream Water Iogurt,positive
Filona  ,Sweet Pepper Fries,negative
Ira     ,Salt Beer Salo,negative
Chloe   ,Sugar Fries Vine,negative
Dorophy ,Sweet Vodka Sugar,negative
Ann     ,Abritos Cheese Milk,positive
Dorophy ,Bread Vodka Iogurt,positive
